Sexo;Comunidades;Edad;Periodo;Total
Ambos sexos;04 Balears, Illes;Total;2019T4;9,91
Ambos sexos;04 Balears, Illes;Total;2019T3;8,18
Ambos sexos;04 Balears, Illes;Total;2019T2;12,13
Ambos sexos;04 Balears, Illes;Total;2019T1;17,06
Ambos sexos;04 Balears, Illes;Total;2018T4;10,91
Ambos sexos;04 Balears, Illes;Total;2018T3;7,16
Ambos sexos;04 Balears, Illes;Total;2018T2;11,22
Ambos sexos;04 Balears, Illes;Total;2018T1;17,42
Ambos sexos;04 Balears, Illes;Total;2017T4;12,61
Ambos sexos;04 Balears, Illes;Total;2017T3;9,25
Ambos sexos;04 Balears, Illes;Total;2017T2;11,49
Ambos sexos;04 Balears, Illes;Total;2017T1;16,76
Ambos sexos;04 Balears, Illes;Total;2016T4;13,8
Ambos sexos;04 Balears, Illes;Total;2016T3;10,6
Ambos sexos;04 Balears, Illes;Total;2016T2;13,02
Ambos sexos;04 Balears, Illes;Total;2016T1;18,41
Ambos sexos;04 Balears, Illes;Total;2015T4;17,02
Ambos sexos;04 Balears, Illes;Total;2015T3;13,88
Ambos sexos;04 Balears, Illes;Total;2015T2;16,45
Ambos sexos;04 Balears, Illes;Total;2015T1;22,29
Ambos sexos;04 Balears, Illes;Total;2014T4;18,88
Ambos sexos;04 Balears, Illes;Total;2014T3;15,94
Ambos sexos;04 Balears, Illes;Total;2014T2;19,04
Ambos sexos;04 Balears, Illes;Total;2014T1;26,7
Ambos sexos;04 Balears, Illes;Total;2013T4;22,72
Ambos sexos;04 Balears, Illes;Total;2013T3;16,93
Ambos sexos;04 Balears, Illes;Total;2013T2;21,14
Ambos sexos;04 Balears, Illes;Total;2013T1;28,55
Ambos sexos;04 Balears, Illes;Total;2012T4;24,3
Ambos sexos;04 Balears, Illes;Total;2012T3;19,56
Ambos sexos;04 Balears, Illes;Total;2012T2;21,32
Ambos sexos;04 Balears, Illes;Total;2012T1;27,85
Ambos sexos;04 Balears, Illes;Total;2011T4;25,49
Ambos sexos;04 Balears, Illes;Total;2011T3;17,79
Ambos sexos;04 Balears, Illes;Total;2011T2;19,53
Ambos sexos;04 Balears, Illes;Total;2011T1;24,98
Ambos sexos;04 Balears, Illes;Total;2010T4;21,78
Ambos sexos;04 Balears, Illes;Total;2010T3;16,93
Ambos sexos;04 Balears, Illes;Total;2010T2;19,79
Ambos sexos;04 Balears, Illes;Total;2010T1;22,22
Ambos sexos;04 Balears, Illes;Total;2009T4;19,45
Ambos sexos;04 Balears, Illes;Total;2009T3;14,78
Ambos sexos;04 Balears, Illes;Total;2009T2;18,02
Ambos sexos;04 Balears, Illes;Total;2009T1;19,63
Ambos sexos;05 Canarias;Total;2020T1;18,79
Ambos sexos;05 Canarias;Total;2019T4;18,78
Ambos sexos;05 Canarias;Total;2019T3;21,19
Ambos sexos;05 Canarias;Total;2019T2;21
Ambos sexos;05 Canarias;Total;2019T1;21,03
Ambos sexos;05 Canarias;Total;2018T4;19,99
Ambos sexos;05 Canarias;Total;2018T3;19,64
Ambos sexos;05 Canarias;Total;2018T2;20,06
Ambos sexos;05 Canarias;Total;2018T1;20,62
Ambos sexos;05 Canarias;Total;2017T4;22,04
Ambos sexos;05 Canarias;Total;2017T3;21,87
Ambos sexos;05 Canarias;Total;2017T2;24,3
Ambos sexos;05 Canarias;Total;2017T1;25,68
Ambos sexos;05 Canarias;Total;2016T4;24,9
Ambos sexos;05 Canarias;Total;2016T3;26,01
Ambos sexos;05 Canarias;Total;2016T2;27,33
Ambos sexos;05 Canarias;Total;2016T1;26
Ambos sexos;05 Canarias;Total;2015T4;26,75
Ambos sexos;05 Canarias;Total;2015T3;28,56
Ambos sexos;05 Canarias;Total;2015T2;30,3
Ambos sexos;05 Canarias;Total;2015T1;30,81
Ambos sexos;05 Canarias;Total;2014T4;31,08
Ambos sexos;05 Canarias;Total;2014T3;33,36
Ambos sexos;05 Canarias;Total;2014T2;32,68
Ambos sexos;05 Canarias;Total;2014T1;32,55
Ambos sexos;05 Canarias;Total;2013T4;33,09
Ambos sexos;05 Canarias;Total;2013T3;34,76
Ambos sexos;05 Canarias;Total;2013T2;33,33
Ambos sexos;05 Canarias;Total;2013T1;33,74
Ambos sexos;05 Canarias;Total;2012T4;32,6
Ambos sexos;05 Canarias;Total;2012T3;33,22
Ambos sexos;05 Canarias;Total;2012T2;32,7
Ambos sexos;05 Canarias;Total;2012T1;31,78
Ambos sexos;05 Canarias;Total;2011T4;30,33
Ambos sexos;05 Canarias;Total;2011T3;29,08
Ambos sexos;05 Canarias;Total;2011T2;29,39
Ambos sexos;05 Canarias;Total;2011T1;28,32
Ambos sexos;05 Canarias;Total;2010T4;28,78
Ambos sexos;05 Canarias;Total;2010T3;28,59
Ambos sexos;05 Canarias;Total;2010T2;29,31
Ambos sexos;05 Canarias;Total;2010T1;27,72
Ambos sexos;05 Canarias;Total;2009T4;26,77
Ambos sexos;05 Canarias;Total;2009T3;25,63
Ambos sexos;05 Canarias;Total;2009T2;25,7
Ambos sexos;05 Canarias;Total;2009T1;25,9
Ambos sexos;06 Cantabria;Total;2020T1;11,09
Ambos sexos;06 Cantabria;Total;2019T4;11,18
Ambos sexos;06 Cantabria;Total;2019T3;8,73
Ambos sexos;06 Cantabria;Total;2019T2;9,01
Ambos sexos;06 Cantabria;Total;2019T1;12,2
Ambos sexos;06 Cantabria;Total;2018T4;9,68
Ambos sexos;06 Cantabria;Total;2018T3;8,99
Ambos sexos;06 Cantabria;Total;2018T2;11,57
Ambos sexos;06 Cantabria;Total;2018T1;12,46
Ambos sexos;06 Cantabria;Total;2017T4;13,49
Ambos sexos;06 Cantabria;Total;2017T3;12,67
Ambos sexos;06 Cantabria;Total;2017T2;14,03
Ambos sexos;06 Cantabria;Total;2017T1;14,07
Ambos sexos;06 Cantabria;Total;2016T4;12,89
Ambos sexos;06 Cantabria;Total;2016T3;12,53
Ambos sexos;06 Cantabria;Total;2016T2;15,31
Ambos sexos;06 Cantabria;Total;2016T1;18,9
Ambos sexos;06 Cantabria;Total;2015T4;17,71
Ambos sexos;06 Cantabria;Total;2015T3;16,19
Ambos sexos;06 Cantabria;Total;2015T2;18,15
Ambos sexos;06 Cantabria;Total;2015T1;18,54
Ambos sexos;06 Cantabria;Total;2014T4;18,42
Ambos sexos;06 Cantabria;Total;2014T3;19,04
Ambos sexos;06 Cantabria;Total;2014T2;19,26
Ambos sexos;06 Cantabria;Total;2014T1;20,95
Ambos sexos;06 Cantabria;Total;2013T4;19,81
Ambos sexos;06 Cantabria;Total;2013T3;18,84
Ambos sexos;06 Cantabria;Total;2013T2;22,28
Ambos sexos;06 Cantabria;Total;2013T1;20,86
Ambos sexos;06 Cantabria;Total;2012T4;19,19
Ambos sexos;06 Cantabria;Total;2012T3;15,79
Ambos sexos;06 Cantabria;Total;2012T2;17,42
Ambos sexos;06 Cantabria;Total;2012T1;18,77
Ambos sexos;06 Cantabria;Total;2011T4;15,92
Ambos sexos;06 Cantabria;Total;2011T3;14,13
Ambos sexos;06 Cantabria;Total;2011T2;14,88
Ambos sexos;06 Cantabria;Total;2011T1;16,27
Ambos sexos;06 Cantabria;Total;2010T4;14,67
Ambos sexos;06 Cantabria;Total;2010T3;12,07
Ambos sexos;06 Cantabria;Total;2010T2;13,73
Ambos sexos;06 Cantabria;Total;2010T1;14,33
Ambos sexos;06 Cantabria;Total;2009T4;12,7
Ambos sexos;06 Cantabria;Total;2009T3;11,06
Ambos sexos;06 Cantabria;Total;2009T2;11,67
Ambos sexos;06 Cantabria;Total;2009T1;12,57
Ambos sexos;07 Castilla y LeÛn;Total;2020T1;11,82
Ambos sexos;07 Castilla y LeÛn;Total;2019T4;11,2
Ambos sexos;07 Castilla y LeÛn;Total;2019T3;11,18
Ambos sexos;07 Castilla y LeÛn;Total;2019T2;11,76
Ambos sexos;07 Castilla y LeÛn;Total;2019T1;12,42
Ambos sexos;07 Castilla y LeÛn;Total;2018T4;11,21
Ambos sexos;07 Castilla y LeÛn;Total;2018T3;11,3
Ambos sexos;07 Castilla y LeÛn;Total;2018T2;12
Ambos sexos;07 Castilla y LeÛn;Total;2018T1;13,91
Ambos sexos;07 Castilla y LeÛn;Total;2017T4;13,71
Ambos sexos;07 Castilla y LeÛn;Total;2017T3;13,02
Ambos sexos;07 Castilla y LeÛn;Total;2017T2;14,45
Ambos sexos;07 Castilla y LeÛn;Total;2017T1;15,13
Ambos sexos;07 Castilla y LeÛn;Total;2016T4;14,81
Ambos sexos;07 Castilla y LeÛn;Total;2016T3;13,91
Ambos sexos;07 Castilla y LeÛn;Total;2016T2;16,25
Ambos sexos;07 Castilla y LeÛn;Total;2016T1;18,33
Ambos sexos;07 Castilla y LeÛn;Total;2015T4;17,58
Ambos sexos;07 Castilla y LeÛn;Total;2015T3;16,59
Ambos sexos;07 Castilla y LeÛn;Total;2015T2;18,49
Ambos sexos;07 Castilla y LeÛn;Total;2015T1;20,38
Ambos sexos;07 Castilla y LeÛn;Total;2014T4;20,28
Ambos sexos;07 Castilla y LeÛn;Total;2014T3;19,4
